originalRank,correctedRank,name,id,rate,avgLon
127,98,Tonga,TON,12.78,-175
88,137,Samoa,WSM,20.95,-172.3333
150,75,American Samoa,ASM,9.15,-170
113,112,Cook Islands,COK,14.81,-159.7667
181,44,French Polynesia,PYF,4.83,-140
103,122,Mexico,MEX,16.26,-102
174,51,United States of America,USA,5.90,-97
182,43,Canada,CAN,4.78,-95
78,147,Guatemala,GTM,24.32,-90.25
97,128,El Salvador,SLV,19.05,-88.9167
90,135,Belize,BLZ,20.82,-88.75
219,6,Hong Kong,HND,2.89,-86.5
96,129,Honduras,HND,19.28,-86.5
87,138,Nicaragua,NIC,21.09,-85
152,73,Costa Rica,CRI,8.95,-84
168,57,Cayman Islands,CYM,6.35,-80.5
183,42,Cuba,CUB,4.76,-80
137,88,Panama,PAN,11.01,-80
119,106,Jamaica,JAM,13.98,-77.5
98,127,Ecuador,ECU,18.48,-77.5
126,99,"Bahamas, The",BHS,12.89,-76
89,136,Peru,PER,20.85,-76
41,184,Haiti,HTI,50.92,-72.4167
106,119,Colombia,COL,15.46,-72
133,92,Turks and Caicos Islands,TCA,11.29,-71.5833
160,65,Chile,CHL,7.19,-71
92,133,Dominican Republic,DOM,20.44,-70.6667
129,96,Aruba,ABW,12.12,-69.9667
158,67,Puerto Rico,PRI,8.00,-66.5
94,131,Venezuela,VEN,19.75,-66
58,167,Bolivia,BOL,39.76,-65
187,38,Wallis and Futuna,VIR,4.55,-64.8333
222,3,Bermuda,BMU,2.47,-64.75
140,85,Brunei,VGB,10.81,-64.5
121,104,British Virgin Islands,VGB,13.93,-64.5
143,82,Argentina,ARG,10.24,-64
212,13,Anguilla,AIA,3.42,-63.1667
148,77,Saint Kitts and Nevis,KNA,9.20,-62.75
117,108,Montserrat,MSR,14.16,-62.2
122,103,Antigua and Barbuda,ATG,13.72,-61.8
139,86,Grenada,GRD,10.81,-61.6667
131,94,Dominica,DMA,11.99,-61.3333
124,101,St Vincent/Grenadines,VCT,13.46,-61.2
130,95,Saint Lucia,LCA,12.07,-61.1333
73,152,Trinidad and Tobago,TTO,25.74,-61
135,90,Barbados,BRB,11.13,-59.5333
66,159,Guyana,GUY,34.45,-59
86,139,Paraguay,PRY,21.48,-58
162,63,Saint Pierre and Miquelon,SPM,7.12,-56.3333
149,76,Uruguay,URY,9.20,-56
69,156,Suriname,SUR,27.99,-56
93,132,Brazil,BRA,19.83,-55
146,79,Greenland,GRL,9.63,-40
217,8,Iceland,ISL,3.17,-18
104,121,Gaza Strip,GMB,16.00,-16.5667
20,205,"Gambia, The",GMB,67.63,-16.5667
5,220,Guinea-Bissau,GNB,92.66,-15
36,189,Senegal,SEN,53.93,-14
30,195,Western Sahara,ESH,57.50,-13
31,194,Mauritania,MRT,57.48,-12
11,214,Sierra Leone,SLE,74.95,-11.5
33,192,Guinea,GIN,57.11,-10
17,208,Liberia,LBR,70.93,-9.5
203,22,Ireland,IRL,3.78,-8
188,37,Portugal,PRT,4.54,-8
175,50,Faroe Islands,FRO,5.82,-7
109,116,"Saint Helena",SHN,15.25,-5.7
166,59,Gibraltar,GIB,6.42,-5.3667
75,150,Morocco,MAR,25.49,-5
23,202,Cote d'Ivoire,CIV,61.66,-5
195,30,Isle of Man,IMN,4.22,-4.55
214,11,Spain,ESP,3.35,-4
2,223,Mali,MLI,106.49,-4
209,16,Guernsey,GGY,3.49,-2.56
201,24,Jersey,JEY,3.90,-2.13
189,36,United Kingdom,GBR,4.50,-2
59,166,Ghana,GHA,39.70,-2
9,216,Burkina Faso,BFA,78.30,-2
43,182,Togo,TGO,48.28,1.1667
204,21,Andorra,AND,3.73,1.6
215,10,France,FRA,3.34,2
27,198,Benin,BEN,58.54,2.25
82,143,Algeria,DZA,22.57,3
194,31,Belgium,BEL,4.23,4
205,20,Netherlands,NLD,3.69,5.75
193,32,Luxembourg,LUX,4.33,6.1667
42,183,Sao Tome and Principe,STP,50.48,7
224,1,Monaco,MCO,1.81,7.4
202,23,Switzerland,CHE,3.80,8
114,111,Syria,SYR,14.63,8
15,210,Nigeria,NGA,72.97,8
7,218,Niger,NER,87.98,8
210,15,Germany,DEU,3.48,9
79,146,Tunisia,TUN,24.07,9
192,33,Liechtenstein,LIE,4.36,9.5333
211,14,Norway,NOR,3.47,10
197,28,Denmark,DNK,4.14,10
14,211,Equatorial Guinea,GNQ,73.12,10
44,181,Gabon,GAB,48.02,11.75
28,197,Cameroon,CMR,58.51,12
185,40,San Marino,SMR,4.58,12.4167
216,9,Italy,ITA,3.33,12.8333
196,29,Austria,AUT,4.21,13.3333
208,17,Malta,MLT,3.62,14.5833
220,5,Sweden,SWE,2.73,15
198,27,Slovenia,SVN,4.08,15
16,209,"Congo, Republic of the",COG,72.45,15
207,18,Czech Republic,CZE,3.67,15.5
173,52,Croatia,HRV,5.96,15.5
128,97,Libya,LBY,12.26,17
48,177,Namibia,NAM,45.62,17
172,53,Bosnia and Herzegovina,BIH,5.97,18
8,217,Angola,AGO,81.75,18.5
6,219,Chad,TCD,91.94,19
167,58,Slovakia,SVK,6.35,19.5
179,46,Hungary,HUN,5.16,20
169,56,Poland,POL,6.30,20
123,102,Albania,ALB,13.65,20
170,55,Serbia,SRB,6.28,21
4,221,Central African Republic,CAF,95.04,21
180,45,Greece,GRC,4.85,22
171,54,Lithuania,LTU,6.09,24
145,80,Botswana,BWA,9.90,24
52,173,South Africa,ZAF,42.15,24
157,68,Latvia,LVA,8.08,25
142,83,Romania,ROU,10.44,25
105,120,Bulgaria,BGR,15.60,25
12,213,"Congo, Democratic Republic of the",COD,74.87,25
213,12,Finland,FIN,3.38,26
164,61,Estonia,EST,6.82,26
206,19,Belarus,BLR,3.67,28
38,187,Lesotho,LSO,51.93,28.5
125,100,Moldova,MDA,13.28,29
80,145,Egypt,EGY,23.30,30
77,148,Cabo Verde,BDI,25.13,30
71,154,Zimbabwe,ZWE,27.25,30
35,190,Sudan,SDN,54.23,30
26,199,Burundi,BDI,58.86,30
24,201,Rwanda,RWA,61.03,30
19,206,Zambia,ZMB,68.58,30
18,207,South Sudan,SSD,69.97,30
32,193,Swaziland,SWZ,57.19,31.5
155,70,Ukraine,UKR,8.24,32
22,203,Uganda,UGA,62.47,32
153,72,Cyprus,CYP,8.82,33
10,215,Malawi,MWI,76.98,34
199,26,Israel,ISR,4.03,34.75
84,141,Turkey,TUR,22.23,35
49,176,Tanzania,TZA,45.10,35
13,212,Mozambique,MOZ,74.63,35
120,105,West Bank,PSE,13.98,35.25
112,113,Lebanon,LBN,14.81,35.8333
108,117,Jordan,JOR,15.26,36
191,34,European Union,EUR,4.43,0
186,39,Taiwan,TWN,4.55,38
51,174,Kenya,KEN,42.18,38
29,196,Ethiopia,ETH,58.28,38
61,164,Eritrea,ERI,39.38,39
40,185,Djibouti,DJI,51.77,43
116,109,Georgia,GEO,14.21,43.5
62,163,Iraq,IRQ,38.86,44
21,204,Comoros,COM,67.12,44.25
111,114,Saudi Arabia,SAU,15.08,45
100,125,Armenia,ARM,17.59,45
47,178,Madagascar,MDG,46.13,47
70,155,Azerbaijan,AZE,27.69,47.5
159,66,Kuwait,KWT,7.68,47.6581
39,186,Yemen,YEM,51.93,48
3,222,Somalia,SOM,101.91,49
144,81,Bahrain,BHR,9.93,50.55
165,60,Qatar,QAT,6.60,51.25
56,169,"Iran, Islamic republic of",IRN,40.02,53
134,91,United Arab Emirates,ARE,11.25,54
136,89,Seychelles,SYC,11.06,55.6667
115,110,Oman,OMN,14.46,57
138,87,Mauritius,MUS,10.89,57.55
60,165,Turkmenistan,TKM,39.48,60
91,134,Uzbekistan,UZB,20.51,64
1,224,Afghanistan,AFG,119.41,65
83,142,Kazakhstan,KAZ,22.32,68
25,200,Pakistan,PAK,59.35,70
64,161,Tajikistan,TJK,36.16,71
74,151,Maldives,MDV,25.50,73
68,157,Kyrgyzstan,KGZ,29.73,75
50,175,India,IND,44.60,77
147,78,Sri Lanka,LKA,9.24,81
53,172,Nepal,NPL,41.76,84
45,180,Bangladesh,BGD,47.30,90
57,168,Bhutan,BTN,39.97,90.5
46,179,Myanmar,MMR,46.31,98
161,64,Russian Federation,RUS,7.19,100
107,118,Thailand,THA,15.41,100
221,4,Singapore,SGP,2.59,103.8
151,74,Sint Maarten,SGP,9.05,103.8
110,115,China,CHN,15.20,105
65,160,Mongolia,MNG,34.78,105
37,188,Cambodia,KHM,52.70,105
34,191,Laos,LAO,56.13,105
163,62,Virgin Islands,VNM,6.94,106
95,130,Vietnam,VNM,19.61,106
118,107,Malaysia,MYS,14.12,112.5
218,7,Macau,MAC,3.15,113.55
156,69,Macedonia,MAC,8.11,113.55
72,153,Indonesia,IDN,26.06,120
99,126,Philippines,PHL,18.19,122
55,170,Timor-Leste,TLS,40.09,125.5167
76,149,"Korea, North",PRK,25.34,127
200,25,"Korea, South",KOR,4.01,127.5
190,35,Australia,AUS,4.49,133
132,93,Palau,PLW,11.77,134.5
223,2,Japan,JPN,2.17,138
176,49,Guam,GUM,5.61,144.7833
177,48,Northern Mariana Islands,MNP,5.59,145.75
54,171,Papua New Guinea,PNG,40.84,147
81,144,"Micronesia, Federated States of",FSM,22.71,158.25
102,123,Solomon Islands,SLB,16.70,159
178,47,New Caledonia,NCL,5.54,165.5
154,71,Nauru,NRU,8.36,166.9167
101,124,Vanuatu,VUT,17.15,167
85,140,Marshall Islands,MHL,22.15,168
63,162,Kiribati,KIR,36.50,173
184,41,New Zealand,NZL,4.65,174
141,84,Fiji,FJI,10.46,175
67,158,Tuvalu,TUV,32.61,178
